asin,Component_1,Component_2,Component_3,bias
5555991584,-1.2091773261370642,3.384908878447307,0.859629429117873,1
6308051551,-4.247092455735017,-1.4841584233680702,-1.2064122804017086,1
7901622466,-3.885248906552436,-2.7574525541626307,5.359677857501865,1
B0000000ZW,5.009614380870431,0.8293222143848225,-0.15001271350398507,1
B00000016W,-3.248700163322701,1.0254344003898315,-1.1186308279478705,1
B00000016T,-4.795384410564988,4.706506039883199,-0.8936271174798864,1
B0000001BA,-1.81591309369589,5.346262916623402,-1.7674324790425278,1
B00000017R,4.422846512295019,6.1538880469686665,9.158656866743287,1
B0000001BO,3.6359987687072626,5.272974541465261,7.9300142926142865,1
B0000001O0,4.676033961220294,4.064483996858562,3.44543487616561,1
B0000001PS,3.763058671994304,2.382706047063606,0.8925047020157377,1
B0000001Q8,2.98013410255275,5.520361955573425,10.109833925663324,1
B0000001SH,4.650587440008595,2.2452899348963076,3.419221185873468,1
B0000001P4,4.676642887547393,4.122937842847397,1.395447585001245,1
B0000001RE,2.7000868836776624,5.076292862860832,9.247078423733871,1
B0000001VZ,3.5168786046911307,3.4162908750389653,5.3965233485431865,1
B0000001XX,-4.805168312778726,-3.79276844730804,-0.4200808927885211,1
B0000001UY,5.438354945732576,3.6732511478177745,0.4256343728334078,1
B0000001XH,5.370588370431544,4.004857140284612,3.571877665461615,1
B00000023Z,-5.351944413778549,2.301026079437867,-6.868303125062299,1
B000000241,-4.655490410787359,2.2514710724400286,-5.553827311589627,1
B00000024B,-4.655490410787357,2.2514710724400286,-5.553827311589622,1
B00000024P,-6.275734297294193,0.3682796628422978,-6.8042327209132765,1
B00000024N,-5.173263260950444,0.26656478514475596,-5.03077642751956,1
B00000027R,-4.65549041078736,2.2514710724400286,-5.553827311589627,1
B00000023I,-5.173263260950446,0.2665647851447564,-5.030776427519559,1
B00000023B,-4.655490410787357,2.251471072440029,-5.553827311589625,1
B000000261,-4.655490410787359,2.251471072440029,-5.553827311589627,1
B00000024J,-6.440378988069406,0.910006155064515,-7.837067530614173,1
B000000257,-4.655490410787359,2.2514710724400286,-5.553827311589623,1
B00000026I,-6.440378988069405,0.9100061550645159,-7.837067530614175,1
B00000028M,-4.655490410787356,2.251471072440029,-5.553827311589623,1
B000000275,-4.655490410787357,2.251471072440028,-5.553827311589625,1
B0000002HZ,-4.65549041078736,2.2514710724400286,-5.553827311589626,1
B0000002IK,-4.655490410787356,2.2514710724400286,-5.553827311589625,1
B0000002KB,-4.655490410787356,2.2514710724400295,-5.553827311589626,1
B0000002J9,-4.655490410787356,2.251471072440029,-5.553827311589624,1
B0000002ME,-4.655490410787359,2.2514710724400286,-5.553827311589625,1
B0000002LZ,-5.614110820031635,1.2766807266764986,-6.564143150940099,1
B0000002O5,-4.655490410787357,2.2514710724400286,-5.553827311589626,1
B0000002VJ,6.72521383689599,0.2002953942953751,-3.2561958522424113,1
B0000002VS,6.46772404718953,0.724060593535867,-3.906925784426633,1
B0000002W7,5.753049146086339,2.790273900257607,0.356018955847729,1
B0000002WK,5.595783017772049,3.3445891923047912,-1.9758457136300944,1
B0000002ZQ,6.0709337382711555,3.668176975674622,0.4762671082790757,1
B0000002V5,7.496677732213144,-4.938935858432113,1.7691290783082716,1
B00000030W,6.544143156080931,-4.297926741693334,1.6755502679349588,1
B0000002VC,4.358410436484012,3.4478766389885855,-5.059238989399552,1
B0000002JR,-4.655490410787357,2.251471072440029,-5.553827311589624,1
B0000002YU,6.82794246304005,2.20515592949421,-2.8949193234799253,1
B0000002Y1,6.848335143568784,3.2047203003549223,-3.57112785280801,1
B000000346,0.4403996653573619,3.9483871653831364,0.8924854077505057,1
B000000338,-0.07601150026311877,4.577694415149435,4.082412667315805,1
B0000003E5,-1.587918536751176,4.152421599233167,1.9353074666067758,1
B0000003KH,-4.846348865964512,-0.0895336503786749,0.5602772326601897,1
B0000003JZ,-3.5104998641495864,3.3732274365640347,-1.8084208270652444,1
B0000003JD,-3.510499864149585,3.3732274365640356,-1.8084208270652435,1
B0000003JR,-4.551798194792797,1.6679384710528904,-2.111580059703172,1
B0000003MB,-5.1733223303649005,1.5449356607510567,-4.319127156015475,1
B0000003F6,-5.789628425546521,1.0734062351699893,-4.752245475100975,1
B0000003JV,-6.201967245149758,0.32661826910417885,-7.124876141873281,1
B0000003JN,0.4461522333530812,3.4388750912604444,0.45438352523154585,1
B0000003T4,-0.15556466445495823,4.520847815112337,-1.0970651706492003,1
B0000003TK,-1.6913824354272768,4.685779985542776,-1.6201892985720052,1
B0000003KJ,-3.5104998641495837,3.373227436564035,-1.8084208270652427,1
B0000003S0,-5.674106053306003,2.1711767539445956,-6.4920202119443,1
B0000003RR,-0.15556466445495853,4.5208478151123375,-1.0970651706492005,1
B0000003WK,-0.9784311300582526,5.472574004036109,-2.626478497756034,1
B0000003RV,-0.06672961156366189,4.0469187279847665,-0.654859787125983,1
B0000004C7,6.0709337382711555,3.6681769756746214,0.47626710827907476,1
B0000004NF,6.3349395442992735,-4.860952680936945,-0.9218053350852988,1
B0000004BK,6.0566538020777765,2.0946708693889007,-2.320282198536882,1
B0000004QQ,-1.335902753821129,4.167171588602241,0.22058101727312612,1
B0000004UU,10.889598665343463,0.49081097962280257,-5.066996552889283,1
B0000004X3,0.45826310287299094,-0.7366565258796706,-2.1822447406880814,1
B0000004VW,6.681157781689333,1.4372749418185393,-3.1984360640425638,1
B0000004VK,6.239618625458274,2.7607763802483345,-3.184108204197144,1
B0000004XH,5.877763818801063,1.033344558744368,-4.091687887158204,1
B0000004UM,3.833329234585016,-7.198471408979567,-1.1387995601991208,1
B0000004UO,2.0509738863932525,-6.640521076392271,-3.242867804245038,1
B0000004VN,6.239618625458274,2.7607763802483345,-3.184108204197144,1
B0000004TW,-1.641075924375768,-2.4334417198334197,4.1797572108031416,1
B00000050R,10.889598665343465,0.49081097962280235,-5.066996552889282,1
B0000004X1,3.833329234585017,-7.198471408979569,-1.1387995601991212,1
B0000004YH,8.826110258217504,-2.3083787759262058,-3.4902692612205115,1
B000000509,3.4848068414549003,-6.855059402053643,-1.698798135253995,1
B00000051K,0.6931914382690808,-6.4567943253957365,-3.135166677424433,1
B00000050T,7.301564860716627,0.9908174266617256,-3.114564451485531,1
B00000050N,8.485274357083899,-5.540560926366787,-1.9705522683965797,1
B00000052P,0.6931914382690808,-6.456794325395736,-3.135166677424432,1
B00000051G,5.379781008545745,-2.8087821143272107,-3.0173404644995685,1
B000000548,7.418411515629131,-3.371912698721229,-2.0143019772806348,1
B000000518,7.802141135459896,-0.42047708516985716,-2.2947751382336206,1
B0000004ZO,10.200841334530283,0.474746097009825,-4.662030229222198,1
B00000052Y,3.484806841454899,-6.855059402053641,-1.698798135253994,1
