asin,Component_1,Component_2,Component_3,Component_4,Component_5,bias
5555991584,-1.2091773261370657,3.3849088784473067,0.8596294291178862,1.8655855269224801,0.2766492770837356,1
6308051551,-4.2470924557350065,-1.4841584233680734,-1.2064122804017312,-4.371632836019975,-3.1594422924310495,1
7901622466,-3.8852489065524343,-2.7574525541626302,5.359677857501918,10.369312870975655,-0.8415660681756488,1
B0000000ZW,5.009614380870419,0.8293222143848222,-0.15001271350398138,0.5909885702770867,0.7950717022686019,1
B00000016W,-3.248700163322694,1.0254344003898288,-1.1186308279478763,-1.0525187735114354,-1.7188668009708845,1
B00000016T,-4.795384410564984,4.706506039883195,-0.8936271174798681,4.871541760317592,-0.852269309391908,1
B0000001BA,-1.815913093695891,5.346262916623398,-1.7674324790425355,-1.3175637376819005,2.7894013121470094,1
B00000017R,4.422846512295008,6.153888046968657,9.158656866743272,-6.39887837404637,-3.1727244782204616,1
B0000001BO,3.635998768707254,5.272974541465258,7.9300142926142865,-3.8631874912847195,-3.4009493979001952,1
B0000001O0,4.6760339612202895,4.064483996858558,3.4454348761655917,-5.598001544033401,-1.423789214003701,1
B0000001PS,3.7630586719942993,2.3827060470636074,0.8925047020157317,-2.191215441934689,-1.0388069760919598,1
B0000001Q8,2.9801341025527384,5.520361955573423,10.109833925663333,-1.8959827053920382,-5.183780528122572,1
B0000001SH,4.650587440008585,2.245289934896308,3.4192211858734542,-4.444766201034593,-0.9924814695675954,1
B0000001P4,4.676642887547383,4.122937842847396,1.3954475850012327,-3.0954841283858046,-0.061895447912356724,1
B0000001RE,2.7000868836776513,5.076292862860835,9.247078423733887,-1.5062140210375075,-4.760514437581133,1
B0000001VZ,3.5168786046911205,3.416290875038963,5.396523348543189,-2.461891012530632,-1.3317715966166705,1
B0000001XX,-4.80516831277872,-3.79276844730804,-0.4200808927885299,-2.4899688398702087,2.8711108271766945,1
B0000001UY,5.438354945732566,3.673251147817773,0.42563437283339706,-3.1052320676112726,0.2275679843605386,1
B0000001XH,5.370588370431534,4.00485714028461,3.5718776654615954,-5.963919919398593,-1.3647856685120152,1
