asin,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,bias
5555991584,-1.2091773261370728,3.384908878447308,0.8596294291179021,1.8655855269224966,0.27664927708372605,-0.5684913390468745,-0.14887122077711631,-1.2566911230132014,-1.2269074434406035,1.1109313703786012,1
6308051551,-4.247092455735121,-1.484158423368043,-1.2064122804016468,-4.371632836019879,-3.1594422924310677,-1.418057484038855,-0.4204207053538448,2.039010671836524,-0.5891644412403695,-0.5356503405128525,1
7901622466,-3.8852489065525546,-2.757452554162608,5.35967785750193,10.369312870975712,-0.8415660681756707,0.2504128289335902,2.6300370650886182,1.9395991063703593,-0.6542002980860421,-2.329611090255453,1
B0000000ZW,5.009614380870341,0.8293222143848685,-0.15001271350400353,0.590988570277114,0.7950717022686079,1.7650200324191236,1.250989633383841,1.4284836910761096,-0.5382708049496334,1.1670331888442083,1
B00000016W,-3.248700163322727,1.0254344003897926,-1.1186308279478592,-1.0525187735114205,-1.7188668009708947,-1.297169502073741,-0.5330651387516077,1.6807365592407455,0.40228919739624275,1.019424725504488,1
B00000016T,-4.795384410564991,4.7065060398832195,-0.8936271174798941,4.871541760317572,-0.8522693093919126,-0.02387092580559473,3.0128884967618745,-0.6355961399168831,0.28690705607806816,3.0085585881324475,1
B0000001BA,-1.815913093695899,5.346262916623382,-1.7674324790425506,-1.3175637376819014,2.7894013121470067,-3.08595860032498,-0.6562386407643475,-1.1481566598814592,2.425009857807632,-0.8489545095230943,1
B00000017R,4.422846512294997,6.153888046968668,9.158656866743273,-6.398878374046299,-3.1727244782204687,-0.3810598068429472,2.054236566879778,0.1515482181507865,-1.9574386675909923,0.008472126960055554,1
B0000001BO,3.635998768707245,5.27297454146527,7.93001429261442,-3.863187491284729,-3.400949397900226,-2.3715568456131884,0.27300149863293427,2.956722398240875,0.14551932122641445,-1.7553635364835514,1
B0000001O0,4.676033961220278,4.064483996858561,3.445434876165671,-5.5980015440333295,-1.4237892140037225,3.444485918645423,-1.9877040315548982,1.2058004173233157,0.8741221651554536,0.9232219339433528,1
B0000001PS,3.763058671994286,2.382706047063609,0.8925047020157504,-2.1912154419346663,-1.0388069760919876,1.3423351699033588,-0.7411117852566007,2.864353240825019,2.3218591331881364,0.16009787084760016,1
B0000001Q8,2.980134102552732,5.520361955573435,10.109833925663347,-1.8959827053919673,-5.183780528122603,-1.4173844100761996,1.903962058544069,0.7409557102666025,-1.186485690309386,-3.5305632786785224,1
B0000001SH,4.650587440008564,2.2452899348963027,3.4192211858735044,-4.444766201034573,-0.9924814695675861,-0.008114563285428134,-0.38503710868096735,2.4271883282443616,1.664175758778064,1.0781245284932035,1
B0000001P4,4.676642887547361,4.122937842847391,1.3954475850012673,-3.095484128385788,-0.061895447912344866,2.4391492324860184,-0.663751837969986,0.5562998802772893,0.6262304272482394,0.3218365702050177,1
B0000001RE,2.7000868836776424,5.076292862860834,9.247078423733917,-1.5062140210374608,-4.76051443758119,-1.3751839329487434,1.768598309554594,0.7187231269272687,-1.0178947562586749,-3.415538433992216,1
B0000001VZ,3.5168786046911134,3.416290875038967,5.396523348543222,-2.4618910125306037,-1.3317715966166856,-1.6267773835268897,2.5064275330062116,-1.0672176649619056,-1.6906868026212305,-0.4815354225184952,1
B0000001XX,-4.805168312778727,-3.7927684473080365,-0.42008089278847505,-2.4899688398701842,2.8711108271767114,7.247127289325398,-3.7087436493083397,-1.011742601691193,-0.3441490791543618,-1.96853449344788,1
B0000001UY,5.4383549457325495,3.6732511478177674,0.42563437283344,-3.105232067611249,0.22756798436054468,2.699161462359345,-0.3698204611516607,0.7877708051774779,0.6820113362240493,-0.08949821446864772,1
B0000001XH,5.370588370431514,4.004857140284606,3.5718776654616464,-5.963919919398561,-1.3647856685120159,3.501883957971083,-2.1066303740493613,2.4908193187431182,1.3853348816491444,2.3246725022559387,1
B00000023Z,-5.351944413778559,2.3010260794378428,-6.868303125062276,-5.18631714307908,2.0897185744656475,-2.7628429916283506,3.783931726693837,-1.2536711735066206,-5.095384219394221,-2.7217838232498406,1
B000000241,-4.655490410787361,2.251471072440021,-5.553827311589607,-4.23373537797296,2.0961471381038765,-2.8949315419007227,2.667793811324919,-0.9506898021562201,-3.921156806337697,-2.891899685952908,1
B00000024B,-4.65549041078736,2.251471072440021,-5.553827311589607,-4.23373537797296,2.096147138103877,-2.8949315419007227,2.6677938113249215,-0.9506898021562166,-3.9211568063377498,-2.891899685953002,1
B00000024P,-6.275734297294193,0.3682796628422975,-6.804232720913254,-5.8751933407535,-0.42098592576768457,-2.788703314086999,2.446619824501903,-0.4851891466288242,-3.3352834204916,-1.3772497121004053,1
B00000024N,-5.17326326095045,0.2665647851447481,-5.030776427519539,-4.673761570108375,-0.37734058746326143,-2.870613779733435,1.3189474460285118,-0.9196337498081526,-2.808057827298432,-1.5481051259335015,1
B00000027R,-4.655490410787362,2.25147107244002,-5.5538273115896075,-4.23373537797296,2.096147138103877,-2.894931541900722,2.6677938113249215,-0.9506898021562168,-3.9211568063377205,-2.8918996859529593,1
B00000023I,-5.173263260950451,0.26656478514474746,-5.030776427519539,-4.673761570108373,-0.37734058746326143,-2.870613779733435,1.3189474460285124,-0.9196337498081526,-2.8080578272984376,-1.5481051259335021,1
B00000023B,-4.655490410787362,2.2514710724400198,-5.553827311589607,-4.233735377972959,2.096147138103877,-2.8949315419007227,2.6677938113249207,-0.9506898021562167,-3.9211568063377236,-2.8918996859529584,1
B000000261,-4.655490410787362,2.25147107244002,-5.5538273115896075,-4.233735377972961,2.096147138103876,-2.894931541900722,2.667793811324922,-0.9506898021562157,-3.9211568063377236,-2.8918996859529598,1
B00000024J,-6.440378988069403,0.9100061550645149,-7.837067530614158,-6.320238987314034,-0.8273445413884942,-1.2880685466900303,3.5981185537759686,0.9568742886405089,-3.497636321183423,-1.165828061866004,1
B000000257,-4.655490410787362,2.25147107244002,-5.553827311589607,-4.23373537797296,2.0961471381038765,-2.894931541900722,2.6677938113249198,-0.9506898021562163,-3.9211568063377227,-2.8918996859529584,1
B00000026I,-6.440378988069403,0.910006155064515,-7.837067530614157,-6.320238987314033,-0.8273445413884943,-1.2880685466900303,3.5981185537759686,0.9568742886405094,-3.497636321183423,-1.1658280618660057,1
B00000028M,-4.655490410787362,2.251471072440021,-5.553827311589606,-4.233735377972961,2.0961471381038765,-2.894931541900722,2.66779381132492,-0.9506898021562162,-3.9211568063377227,-2.891899685952958,1
B000000275,-4.655490410787362,2.251471072440021,-5.553827311589605,-4.233735377972961,2.0961471381038757,-2.8949315419007227,2.66779381132492,-0.9506898021562157,-3.9211568063377222,-2.8918996859529598,1
B0000002HZ,-4.65549041078736,2.251471072440022,-5.553827311589606,-4.233735377972961,2.096147138103876,-2.894931541900722,2.6677938113249207,-0.9506898021562162,-3.9211568063377236,-2.8918996859529598,1
B0000002IK,-4.655490410787362,2.251471072440022,-5.553827311589607,-4.233735377972961,2.096147138103876,-2.894931541900722,2.6677938113249207,-0.9506898021562161,-3.9211568063377222,-2.8918996859529593,1
B0000002KB,-4.65549041078736,2.251471072440022,-5.553827311589606,-4.233735377972961,2.096147138103875,-2.8949315419007227,2.6677938113249207,-0.9506898021562162,-3.9211568063377227,-2.8918996859529598,1
B0000002J9,-4.65549041078736,2.2514710724400224,-5.553827311589607,-4.233735377972961,2.096147138103875,-2.8949315419007227,2.6677938113249207,-0.9506898021562168,-3.9211568063377227,-2.8918996859529593,1
B0000002ME,-4.65549041078736,2.251471072440022,-5.553827311589606,-4.233735377972961,2.096147138103876,-2.894931541900722,2.66779381132492,-0.9506898021562162,-3.9211568063377222,-2.8918996859529584,1
B0000002LZ,-5.6141108200316365,1.276680726676487,-6.5641431509400725,-5.086995494362448,1.0178725911354214,-2.6442513669580276,2.7113473942874595,-0.12922726009978253,-3.2162451356443498,-2.3986455123405883,1
B0000002O5,-4.65549041078736,2.251471072440022,-5.553827311589605,-4.233735377972961,2.0961471381038765,-2.894931541900722,2.6677938113249193,-0.9506898021562162,-3.9211568063377227,-2.891899685952958,1
B0000002VJ,6.725213836895976,0.20029539429538443,-3.2561958522423726,1.4584628668615638,6.733798443326221,-1.1801150963667735,-1.4963980963373258,4.132658073827871,2.750278206447679,-3.2379872482013066,1
B0000002VS,6.467724047189518,0.724060593535863,-3.906925784426599,1.44929403849118,7.203699406588908,-2.0183298920255757,-1.5696630109958774,3.952988422697276,2.956962671566201,-3.661069054258785,1
B0000002W7,5.753049146086329,2.790273900257621,0.3560189558477586,-2.663309763557473,-0.4273543073161653,4.01572139601099,-0.23177317559666832,1.30907480926919,0.6006587010186891,0.3360668224689363,1
B0000002WK,5.595783017772031,3.3445891923047903,-1.9758457136300747,1.5702883924712803,0.36517454975855446,1.9884593445523007,0.7774014192675608,1.4020933283320458,0.31667016697384,0.44172710985773145,1
B0000002ZQ,6.070933738271146,3.6681769756746343,0.47626710827909696,-1.9357858951244709,-0.3506395964522872,3.943905089834065,-0.6778954980523997,0.9821682603850188,0.20298778979234175,0.9987165231284516,1
B0000002V5,7.496677732213134,-4.938935858432127,1.7691290783083249,0.6692888580553684,11.658198437461214,-5.790423736482849,-3.2847366409435286,7.866592373049381,2.4399848302775116,-5.0477781754485065,1
B00000030W,6.544143156080909,-4.297926741693332,1.675550267935007,0.6316488392657104,10.003670788457569,-4.916559285435204,-2.7467561245274346,6.631697756632518,1.9805574841393614,-4.39304594053894,1
B0000002VC,4.358410436484003,3.447876638988587,-5.059238989399532,-0.2210292621793468,2.1940905701518187,-1.0119837667357545,-1.919301869088849,-0.4654479178287197,3.126851037228589,-0.5472074156139111,1
B0000002JR,-4.65549041078736,2.251471072440022,-5.553827311589605,-4.23373537797296,2.096147138103877,-2.8949315419007235,2.6677938113249193,-0.9506898021562147,-3.9211568063377236,-2.8918996859529615,1
B0000002YU,6.827942463040027,2.2051559294942047,-2.8949193234799027,2.092073262214464,2.238994157141305,1.303839026342843,-1.1476291104703897,1.0694531558382536,1.8645220075334834,-2.010140524818579,1
B0000002Y1,6.84833514356876,3.204720300354921,-3.571127852807996,1.975726178349944,2.6476169552920803,0.6717910441009542,-1.5192530385807428,0.7739130557343846,1.695102430619312,-1.75281073877585,1
B000000346,0.44039966535734953,3.9483871653831253,0.8924854077505302,-2.157842917874676,0.7611295430806176,-2.824931909556481,0.14023671491680087,-0.25655375738222463,1.6786608301100223,0.017509164084213505,1
B000000338,-0.07601150026313128,4.577694415149442,4.082412667315833,0.32515369616027967,1.02579730016741,-3.021911152873051,0.48768997631749206,-5.2619729679372655,-3.8633386046261635,6.012126270308378,1
B0000003E5,-1.5879185367511832,4.152421599233166,1.9353074666068062,-1.8651083462703137,-0.42698036583071325,-0.2453478746813278,1.9901721884145285,-0.9653562024839707,0.246980303088647,2.3659326693373166,1
B0000003KH,-4.846348865964507,-0.089533650378671,0.5602772326602241,-3.0229969196287634,-1.2301814104315472,0.8025012503439725,0.7842419897508008,1.0634894535526458,-1.5237844392156759,2.8957511487013052,1
B0000003JZ,-3.510499864149585,3.373227436564028,-1.808420827065224,-0.3494226286531478,2.5531275868823213,-1.7250584305639824,-0.7426057141245211,-2.5497253981719012,3.887890510609624,0.6009310498878684,1
B0000003JD,-3.510499864149584,3.3732274365640276,-1.8084208270652236,-0.34942262865314727,2.553127586882321,-1.725058430563983,-0.7426057141245214,-2.5497253981719012,3.8878905106096235,0.6009310498878677,1
