asin,Component_1,Component_2,bias
5555991584,-1.2091773261370609,3.3849088784473027,1
6308051551,-4.247092455735001,-1.4841584233680667,1
7901622466,-3.8852489065524263,-2.7574525541626302,1
B0000000ZW,5.009614380870412,0.8293222143848212,1
B00000016W,-3.2487001633226904,1.0254344003898292,1
B00000016T,-4.795384410564975,4.706506039883188,1
B0000001BA,-1.8159130936958843,5.346262916623393,1
B00000017R,4.422846512295004,6.15388804696865,1
B0000001BO,3.635998768707253,5.2729745414652545,1
B0000001O0,4.676033961220282,4.064483996858554,1
B0000001PS,3.7630586719942962,2.3827060470636043,1
B0000001Q8,2.9801341025527384,5.520361955573413,1
B0000001SH,4.650587440008579,2.2452899348963036,1
B0000001P4,4.676642887547379,4.12293784284739,1
B0000001RE,2.7000868836776557,5.076292862860824,1
B0000001VZ,3.5168786046911187,3.416290875038958,1
B0000001XX,-4.805168312778711,-3.792768447308032,1
B0000001UY,5.43835494573256,3.673251147817771,1
B0000001XH,5.370588370431525,4.004857140284604,1
B00000023Z,-5.351944413778534,2.3010260794378667,1
B000000241,-4.655490410787344,2.251471072440028,1
B00000024B,-4.655490410787344,2.251471072440028,1
B00000024P,-6.2757342972941785,0.3682796628423016,1
B00000024N,-5.173263260950427,0.2665647851447586,1
B00000027R,-4.655490410787345,2.2514710724400273,1
B00000023I,-5.173263260950426,0.26656478514475807,1
B00000023B,-4.655490410787344,2.251471072440028,1
B000000261,-4.655490410787345,2.251471072440028,1
B00000024J,-6.440378988069387,0.9100061550645195,1
B000000257,-4.655490410787344,2.251471072440028,1
B00000026I,-6.440378988069387,0.9100061550645195,1
B00000028M,-4.655490410787343,2.2514710724400286,1
B000000275,-4.655490410787344,2.251471072440028,1
B0000002HZ,-4.655490410787345,2.2514710724400273,1
B0000002IK,-4.655490410787345,2.2514710724400278,1
B0000002KB,-4.655490410787344,2.2514710724400273,1
B0000002J9,-4.655490410787344,2.2514710724400273,1
B0000002ME,-4.655490410787344,2.2514710724400273,1
B0000002LZ,-5.614110820031619,1.2766807266765015,1
B0000002O5,-4.655490410787345,2.2514710724400273,1
B0000002VJ,6.725213836895966,0.2002953942953756,1
B0000002VS,6.467724047189521,0.724060593535868,1
B0000002W7,5.753049146086323,2.7902739002576045,1
B0000002WK,5.595783017772034,3.3445891923047872,1
B0000002ZQ,6.070933738271139,3.668176975674618,1
B0000002V5,7.496677732213119,-4.938935858432106,1
B00000030W,6.544143156080915,-4.297926741693327,1
B0000002VC,4.358410436484005,3.4478766389885815,1
B0000002JR,-4.655490410787343,2.251471072440028,1
B0000002YU,6.82794246304003,2.2051559294942105,1
B0000002Y1,6.848335143568766,3.2047203003549187,1
B000000346,0.44039966535736097,3.948387165383128,1
B000000338,-0.07601150026311974,4.577694415149427,1
B0000003E5,-1.5879185367511717,4.152421599233162,1
B0000003KH,-4.846348865964498,-0.08953365037867314,1
B0000003JZ,-3.5104998641495766,3.373227436564028,1
B0000003JD,-3.510499864149574,3.3732274365640302,1
B0000003JR,-4.5517981947927835,1.6679384710528868,1
B0000003MB,-5.173322330364889,1.5449356607510554,1
B0000003F6,-5.789628425546503,1.0734062351699911,1
B0000003JV,-6.2019672451497385,0.32661826910418246,1
B0000003JN,0.44615223335308035,3.4388750912604387,1
B0000003T4,-0.15556466445495765,4.5208478151123295,1
B0000003TK,-1.6913824354272706,4.685779985542769,1
B0000003KJ,-3.510499864149573,3.3732274365640285,1
B0000003S0,-5.674106053305983,2.1711767539445948,1
B0000003RR,-0.15556466445495612,4.5208478151123295,1
B0000003WK,-0.9784311300582504,5.472574004036099,1
B0000003RV,-0.06672961156366022,4.046918727984761,1
B0000004C7,6.07093373827114,3.6681769756746188,1
B0000004NF,6.334939544299259,-4.860952680936935,1
B0000004BK,6.056653802077766,2.094670869388901,1
B0000004QQ,-1.3359027538211237,4.167171588602236,1
B0000004UU,10.889598665343438,0.4908109796228086,1
B0000004X3,0.4582631028729888,-0.7366565258796686,1
B0000004VW,6.681157781689317,1.4372749418185409,1
B0000004VK,6.239618625458256,2.7607763802483336,1
B0000004XH,5.87776381880105,1.0333445587443664,1
B0000004UM,3.83332923458501,-7.198471408979559,1
B0000004UO,2.050973886393253,-6.640521076392256,1
B0000004VN,6.239618625458258,2.7607763802483345,1
B0000004TW,-1.6410759243757633,-2.4334417198334175,1
B00000050R,10.88959866534344,0.4908109796228086,1
B0000004X1,3.833329234585009,-7.198471408979559,1
B0000004YH,8.82611025821748,-2.3083787759261987,1
B000000509,3.4848068414548954,-6.855059402053631,1
B00000051K,0.6931914382690842,-6.45679432539572,1
B00000050T,7.301564860716605,0.9908174266617269,1
B00000050N,8.485274357083874,-5.540560926366772,1
B00000052P,0.6931914382690819,-6.456794325395723,1
B00000051G,5.379781008545732,-2.8087821143272,1
B000000548,7.4184115156291135,-3.371912698721222,1
B000000518,7.802141135459871,-0.4204770851698528,1
B0000004ZO,10.200841334530253,0.4747460970098316,1
B00000052Y,3.4848068414548936,-6.855059402053631,1
B00000053Q,10.200841334530256,0.4747460970098305,1
B00000053Y,1.7225907552474795,1.727741266933998,1
B00000054J,0.6931914382690832,-6.456794325395721,1
B00000053B,6.1136924301435815,1.2076693409048473,1
B0000004YX,8.945681206574692,-1.068986770786478,1
B000000545,0.6931914382690832,-6.456794325395721,1
B00000054H,3.4848068414548905,-6.855059402053633,1
B00000051V,7.062738119897745,3.007110590403705,1
B00000053X,1.7225907552474808,1.727741266933999,1
B000000559,10.200841334530255,0.47474609700982945,1
B000000534,0.6931914382690822,-6.456794325395723,1
B00000054A,0.6931914382690829,-6.456794325395721,1
B00000053G,10.200841334530255,0.4747460970098305,1
B00000055E,8.945681206574692,-1.068986770786478,1
B0000004YB,10.889598665343437,0.4908109796228075,1
B00000055F,5.84758557851474,-3.0967219908430335,1
B000000536,5.379781008545733,-2.8087821143272,1
B000000541,5.847660042259469,-3.096784351661707,1
B0000005GB,-3.6224082711149213,3.602299282425958,1
B000000504,0.6931914382690838,-6.45679432539572,1
B00000052I,5.379781008545731,-2.8087821143272005,1
B00000051I,5.379781008545734,-2.8087821143272,1
B000000572,5.379781008545729,-2.808782114327202,1
B00000050J,5.424568950951875,3.3515858071233113,1
B00000050H,7.9541744895685955,-3.341262441129327,1
B0000005PA,6.781847208148338,1.9923395038959726,1
B0000005PK,6.710288804916404,1.7078794651291862,1
B0000005P2,-5.4474921767869295,1.4682315956493095,1
B0000005S3,-6.273636822854106,0.6135292975597257,1
B0000005OO,-3.0577352181642374,-0.4920973394479306,1
B0000005S0,-3.7301430712708568,2.991629428069429,1
B0000005XM,-4.845667176716492,-2.17128250417506,1
B0000005X6,-2.860039994517801,-2.5780598817152245,1
B0000005X7,-2.8600399945178,-2.578059881715225,1
B0000005WT,-7.0197983542690485,-2.6733911302701827,1
B00000063K,-5.239747289709276,3.15315433019489,1
B00000063H,2.237286855976738,4.2484101249727,1
B00000064E,-5.780458029259381,3.638536749809291,1
B00000064F,-4.4452618335572724,2.4291668765080785,1
B00000064G,-5.460075201543553,3.441235511959424,1
B0000006E3,3.5099839947353138,8.280022722695627,1
B0000006P9,2.9800433255664385,5.520346345121397,1
B0000006QO,2.090590176818233,3.2316965289314115,1
B0000007SV,-2.211274165412613,3.185363271615991,1
