asin,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,bias
5555991584,-0.16603246545345376,0.22754566046932714,-0.14858608537555085,-0.023559574279382125,0.020443355806535033,0.134096809932885,0.24057961506824657,-0.10723741383078426,-0.05677065232106653,0.0655931398007009,1
6308051551,-0.368213887961678,-0.4287420288633834,0.09093026451092845,-0.4455602322728462,-0.34856536189734516,0.5276984120442313,-0.39743764982774166,0.13252445075253977,0.1284606455020808,-0.026721983814567012,1
7901622466,-0.1625660038045164,0.3161768252841618,-0.21840945030221506,-0.15293001899771977,-0.07753161803586081,0.709127966314384,0.5443889750583992,-0.05727175399440347,0.19499699043135268,-0.4365183977893735,1
B0000000ZW,0.973195726828973,-0.05086109860999414,1.1051099916999554,0.04588190645518523,0.6425473548693229,-0.01036581868457402,-0.15567319875803942,-0.08978782324905143,0.03628515372812981,-0.06003126083926529,1
B00000016W,-0.9344238984604748,-0.13898993182732727,0.022745355968947445,0.21059725776030713,-0.11282494191045775,0.14922057685200488,0.25515536142170425,-0.35166218735540755,0.12840033412930477,0.28689056636745347,1
B00000016T,-0.8058097561370944,0.11268216521061479,-0.038449575443191004,0.15737253456766725,0.30801256900674084,0.124648440951614,0.9637357524782292,0.4272002497839222,-0.38579501785930803,0.0707328996962643,1
B0000001BA,-0.3352610109545708,1.234653379818918,-0.45820056233995404,0.4730308156253371,-0.06845059429742144,-0.5358146696661371,-0.521269487262716,-0.25033038634986376,-0.5771931199150652,0.1962945523366652,1
B00000017R,0.4924892815445598,0.7874767991433801,-0.12751632789012832,-1.4626774442619095,-1.2078633971874304,-1.148606588689699,0.09752024405658555,0.007045969859075458,0.10784145172273946,-0.02406651608647067,1
B0000001BO,0.4870260422823683,0.7844997610630291,-0.13090062363618918,-1.4571000046065168,-1.2007106268809202,-1.1285881275618932,0.09242932368567718,0.025947403861579853,0.12383579601760006,-0.10931986392401524,1
B0000001O0,0.48871951716925366,0.3847630090539451,-0.010242700579507866,-0.7072748653653184,-0.7625730722901273,-0.18768387364220177,-0.02990861825158739,-0.4800657209602009,-0.821971633857658,-0.19791219034540808,1
B0000001PS,0.7779041989421375,0.1955283865687587,0.4305584750804958,-0.06526630374846454,-0.6652860039784572,-0.17719171603283013,0.013517286165372486,-0.1932176564508235,-0.4059912283487869,-0.3017603923319018,1
B0000001Q8,0.4521045455993414,0.7041514420201735,-0.11580861748026794,-1.270368116549243,-0.9996365886334819,-0.9967960842864517,0.08820267032301016,0.14400424013821086,0.32124644698170524,-0.0295623845841303,1
B0000001SH,0.4712319966552294,0.34306083967218215,0.0038326233501313166,-0.6020486211395082,-0.6549056871583243,-0.1295323232541229,-0.030414915785734613,-0.3981912603009841,-0.6836807598877586,-0.14543849420100388,1
B0000001P4,0.950271215826238,0.3229568564075595,0.6868215402406446,0.22969319197571647,-0.7519435177404431,-0.26405677469193645,-0.024297580210211805,-0.24176419831786802,-0.47773784677150827,0.062220281778507636,1
B0000001RE,0.43633158731461325,0.6881575878526415,-0.13508205535322382,-1.255748799337703,-0.9487739419727872,-0.9706466813852705,0.08830764458966617,0.169034882187961,0.3723603812453146,-0.009134897419341911,1
B0000001VZ,0.4196905693619365,0.6315747790876859,-0.12408475949308939,-1.1300602174562446,-0.8313378627784094,-0.849545480429386,0.08203532599881538,0.13891196480544588,0.3163769961827896,0.005096454623092337,1
B0000001XX,-1.5057378535483583,-0.9546182382487848,0.2590632367269336,-0.004746543197506248,-0.37886854787056495,0.20951153194287497,0.3681335288599899,-0.04664406324946647,-0.25275531208668117,0.027658047271198923,1
B0000001UY,1.1138647143540084,0.30032417909981535,0.9056722464775145,0.4879581944150451,-0.8570115717899941,-0.24424343568249643,-0.037049724900527416,-0.1363159671359133,-0.3855282821059458,0.07697220871365935,1
B0000001XH,0.797897720598279,0.3706003403533549,0.37929471517156466,-0.4393815403749103,-1.0249287891765377,-0.3798459666682655,-0.005776745647297218,-0.47773548506852515,-0.8739879524205473,-0.35265898912221777,1
B00000023Z,0.38378581799199807,0.3673886684537514,-0.30833304210172763,-0.6411194693114806,-0.33402745889649105,1.548441500868364,-0.47088813794684553,0.5938166081284225,0.23651597270116134,0.0461699847432343,1
B000000241,0.38501157629409527,0.37335463026606003,-0.3117596464075742,-0.6460733607046374,-0.34167558562499156,1.5819562616960436,-0.48647916682002507,0.6112876464123136,0.24183188122333577,0.05075160468123575,1
B00000024B,0.38501157629409527,0.37335463026606003,-0.3117596464075742,-0.6460733607046374,-0.34167558562499156,1.5819562616960436,-0.48647916682002507,0.6112876464123136,0.24183188122333577,0.05075160468123575,1
B00000024P,0.374570549794772,0.34238801391154733,-0.29287223968871484,-0.6326559908141716,-0.33433018231310285,1.5079933655592395,-0.4362392167148203,0.5569093659100994,0.23430596052108096,0.038311109853400756,1
B00000024N,0.37841330052937705,0.33589401592836576,-0.28431471044129036,-0.6153057696297398,-0.3162857194066801,1.4189804522295204,-0.424292478183248,0.5281365574809661,0.20782065184021145,0.04899230431447187,1
B00000027R,0.38501157629409527,0.37335463026606003,-0.3117596464075742,-0.6460733607046374,-0.34167558562499156,1.5819562616960436,-0.48647916682002507,0.6112876464123136,0.24183188122333577,0.05075160468123575,1
B00000023I,0.37841330052937705,0.33589401592836576,-0.28431471044129036,-0.6153057696297398,-0.3162857194066801,1.4189804522295204,-0.424292478183248,0.5281365574809661,0.20782065184021145,0.04899230431447187,1
B00000023B,0.38501157629409527,0.37335463026606003,-0.3117596464075742,-0.6460733607046374,-0.34167558562499156,1.5819562616960436,-0.48647916682002507,0.6112876464123136,0.24183188122333577,0.05075160468123575,1
B000000261,0.38501157629409527,0.37335463026606003,-0.3117596464075742,-0.6460733607046374,-0.34167558562499156,1.5819562616960436,-0.48647916682002507,0.6112876464123136,0.24183188122333577,0.05075160468123575,1
B00000024J,0.3811688255594899,0.3798486282492417,-0.3203171756549987,-0.6634235818890691,-0.35972004853141426,1.6709691750257618,-0.4984259053515975,0.6400604548414472,0.2683171899042054,0.040070410220164436,1
B000000257,0.38501157629409527,0.37335463026606003,-0.3117596464075742,-0.6460733607046374,-0.34167558562499156,1.5819562616960436,-0.48647916682002507,0.6112876464123136,0.24183188122333577,0.05075160468123575,1
B00000026I,0.3811688255594899,0.3798486282492417,-0.3203171756549987,-0.6634235818890691,-0.35972004853141426,1.6709691750257618,-0.4984259053515975,0.6400604548414472,0.2683171899042054,0.040070410220164436,1
