asin,Component_1,Component_2,bias
5555991584,-0.16603241932243337,0.22759876471864707,1
6308051551,-0.368213884003286,-0.4287391488670369,1
7901622466,-0.16256593743870115,0.3162197520715842,1
B0000000ZW,0.9731956793264505,-0.050929591708384715,1
B00000016W,-0.9344238639425281,-0.13893669289526228,1
B00000016T,-0.805809790259319,0.11269705086138687,1
B0000001BA,-0.3352609869507696,1.2346511728636853,1
B00000017R,0.49248931637905946,0.7875960884103844,1
B0000001BO,0.48702606079287414,0.7845920669763142,1
B0000001O0,0.4887194581547602,0.38464843759179507,1
B0000001PS,0.7779040912338007,0.19533322930238983,1
B0000001Q8,0.45210458118651925,0.7042660578411071,1
B0000001SH,0.471231948741052,0.3429642912275439,1
B0000001P4,0.9502711476701207,0.32281753089975945,1
B0000001RE,0.43633163264495756,0.6882902817357406,1
B0000001VZ,0.4196906108690866,0.6316830390737168,1
B0000001XX,-1.505737890377039,-0.9546761094688475,1
B0000001UY,1.113864714906107,0.30031573189847904,1
B0000001XH,0.7978975886906851,0.3703654723408502,1
B00000023Z,0.38378578583164713,0.36732519163977817,1
B000000241,0.3850115474168973,0.37329653966574405,1
B00000024B,0.3850115474168973,0.37329653966574405,1
B00000024P,0.3745705210317823,0.34232904659237656,1
B00000024N,0.3784132742924112,0.33584164800121064,1
B00000027R,0.3850115474168973,0.37329653966574405,1
B00000023I,0.3784132742924112,0.33584164800121064,1
B00000023B,0.3850115474168973,0.37329653966574405,1
B000000261,0.3850115474168973,0.37329653966574405,1
B00000024J,0.3811687941562681,0.37978393825691,1
B000000257,0.3850115474168973,0.37329653966574405,1
B00000026I,0.3811687941562681,0.37978393825691,1
B00000028M,0.3850115474168973,0.37329653966574405,1
B000000275,0.3850115474168973,0.37329653966574405,1
B0000002HZ,0.3850115474168973,0.37329653966574405,1
B0000002IK,0.3850115474168973,0.37329653966574405,1
B0000002KB,0.3850115474168973,0.37329653966574405,1
B0000002J9,0.3850115474168973,0.37329653966574405,1
B0000002ME,0.3850115474168973,0.37329653966574405,1
B0000002LZ,0.37119951940740176,0.3879196528744691,1
B0000002O5,0.3850115474168973,0.37329653966574405,1
B0000002VJ,0.5590985540464781,0.17512418920415973,1
B0000002VS,0.5791012636045278,0.1902751407946688,1
B0000002W7,1.1246424688182302,0.18401555393470842,1
B0000002WK,0.9924793000644949,0.06365935090700237,1
B0000002ZQ,0.9855464018984486,-0.02046188617662524,1
B0000002V5,0.516160412327102,0.13073167683045667,1
B00000030W,0.49864165431666513,0.11585557037560686,1
B0000002VC,0.7886758390722644,0.5618036215663799,1
B0000002JR,0.3850115474168973,0.37329653966574405,1
B0000002YU,1.0467451870294018,0.04216242704843392,1
B0000002Y1,0.994959692317287,-0.012329398863978306,1
B000000346,0.18828587039630354,0.840747723952988,1
B000000338,0.23591716629023507,0.9315574848544625,1
B0000003E5,0.24757575816491936,0.3646533196714271,1
B0000003KH,-1.273893123400874,-0.4203173034625524,1
B0000003JZ,-1.1205758183790766,0.5309888744984389,1
B0000003JD,-1.1205758183790766,0.5309888744984389,1
B0000003JR,-0.22103717113131924,0.4374404192384644,1
B0000003MB,0.31766441416570407,0.27229268026056513,1
B0000003F6,0.3797058310200743,0.3560018293425236,1
B0000003JV,-0.1920550264417069,-0.12306852177229768,1
B0000003JN,-0.2754857102793004,0.49786135076473426,1
B0000003T4,0.05571372208399985,0.8336827945564874,1
B0000003TK,-0.4231326360339381,0.9225723550483799,1
B0000003KJ,-1.1205758183790766,0.5309888744984389,1
B0000003S0,0.38119794672377333,0.3758339377005475,1
B0000003RR,0.05571372208399985,0.8336827945564874,1
B0000003WK,0.058843227035683614,1.002731449660171,1
B0000003RV,0.06651132615008595,0.7803099879669702,1
B0000004C7,0.9855464018984486,-0.02046188617662524,1
B0000004NF,0.8869160876709479,-0.7773863645850919,1
B0000004BK,1.0259974528853333,0.02563772314402333,1
B0000004QQ,-0.2100799785947479,0.38107006488306355,1
B0000004UU,1.656073432030902,-1.0805913878288504,1
B0000004X3,0.20056432531394097,-0.41263425204180704,1
B0000004VW,1.050616769805093,0.06801500180190241,1
B0000004VK,1.081835254659046,0.08607300159833084,1
B0000004XH,0.5361398466296387,0.14319962795325675,1
B0000004UM,0.9433425701512844,-0.8708707547383682,1
B0000004UO,0.9953952585167943,-0.9474419716967711,1
B0000004VN,1.081835254659046,0.08607300159833084,1
B0000004TW,-0.7959386014165055,0.07133635852333904,1
B00000050R,1.656073432030902,-1.0805913878288504,1
B0000004X1,0.9433425701512844,-0.8708707547383682,1
B0000004YH,1.6100156727820198,-1.0148196194466015,1
B000000509,0.9373476410346571,-0.860071306162215,1
B00000051K,0.9434958614891109,-0.8632856239819177,1
B00000050T,1.2638604959881032,-0.6393746181477781,1
B00000050N,0.7871506156379656,-0.49728385111764717,1
B00000052P,0.9434958614891109,-0.8632856239819177,1
B00000051G,1.2985258217589675,-0.9617615080910064,1
B000000548,1.5909253435871844,-0.7884264427751655,1
B000000518,1.403276328238414,-0.38783423869810657,1
B0000004ZO,1.5994936582127381,-0.9946921284320246,1
B00000052Y,0.9373476410346571,-0.860071306162215,1
B00000053Q,1.5994936582127381,-0.9946921284320246,1
B00000053Y,0.24738993325646563,0.5140593513535527,1
B00000054J,0.9434958614891109,-0.8632856239819177,1
B00000053B,1.065926840792385,-0.3284897902750587,1
B0000004YX,1.6101689641198456,-1.0072344886901505,1
B000000545,0.9434958614891109,-0.8632856239819177,1
B00000054H,0.9373476410346571,-0.860071306162215,1
B00000051V,0.8324813628019889,0.3279105936922532,1
B00000053X,0.24738993325646563,0.5140593513535527,1
B000000559,1.5994936582127381,-0.9946921284320246,1
B000000534,0.9434958614891109,-0.8632856239819177,1
B00000054A,0.9434958614891109,-0.8632856239819177,1
B00000053G,1.5994936582127381,-0.9946921284320246,1
B00000055E,1.6101689641198456,-1.0072344886901505,1
B0000004YB,1.656073432030902,-1.0805913878288504,1
B00000055F,1.5292315078571024,-1.0111633786896241,1
B000000536,1.2985258217589675,-0.9617615080910064,1
B000000541,1.3065952445054134,-0.9796734258468353,1
B0000005GB,0.21749301233950766,0.5654760034646039,1
B000000504,0.9434958614891109,-0.8632856239819177,1
B00000052I,1.2985258217589675,-0.9617615080910064,1
B00000051I,1.2985258217589675,-0.9617615080910064,1
B000000572,1.2985258217589675,-0.9617615080910064,1
B00000050J,1.2205611623450305,0.17258473751855746,1
B00000050H,1.6051429867880835,-0.8095526783506971,1
B0000005PA,1.003783770054513,-0.004913085792978053,1
B0000005PK,0.5135685708507169,0.12683308544975172,1
B0000005P2,0.3726557809230247,0.3156305147350341,1
B0000005S3,0.3579348439598434,0.3281788725203299,1
B0000005OO,-0.47089326584135904,0.06150516206197248,1
B0000005S0,-1.0237880776065076,0.7850603341550588,1
B0000005XM,-0.8510048696892167,-0.36178377257581695,1
B0000005X6,-0.8372369057402113,-0.34647942266311227,1
B0000005X7,-0.8372369057402113,-0.34647942266311227,1
B0000005WT,-1.4707229051320168,-0.9250802587465162,1
B00000063K,-0.49574405523086257,1.1688434974079023,1
B00000063H,0.43893586912784005,0.6960115265183742,1
B00000064E,-1.3165891642771155,0.9645297589224694,1
B00000064F,-1.2075674877364582,0.6218779416755245,1
B00000064G,-0.5107086096198771,1.3151351310226103,1
