asin,Component_1,Component_2,Component_3,bias
5555991584,-0.1660324019798698,0.22752397274856836,-0.14857068888397656,1
6308051551,-0.3682139101398905,-0.42874222739840323,0.0909309437905478,1
7901622466,-0.16256593178580378,0.31614915550506595,-0.21839875450778728,1
B0000000ZW,0.9731957187270851,-0.05085895506502524,1.1051135944911323,1
B00000016W,-0.9344239316562172,-0.13898016783345046,0.02273785231943928,1
B00000016T,-0.8058098209677782,0.11270494720225807,-0.03843764554966719,1
B0000001BA,-0.3352609217126672,1.2346322355834947,-0.4582091383817476,1
B00000017R,0.49248939440145284,0.7874590740144415,-0.1274651235364385,1
B0000001BO,0.487026138767355,0.7844847454871224,-0.1308478898759566,1
B0000001O0,0.4887193219706407,0.3848054137626277,-0.010291912923032541,1
B0000001PS,0.7779041051012917,0.1955470435853376,0.4305377715394028,1
B0000001Q8,0.4521047001664348,0.7041231132946125,-0.11574818171066795,1
B0000001SH,0.47123185073692964,0.3430925499565937,0.0037919850902727657,1
B0000001P4,0.9502710975377802,0.32297923938496564,0.6867894939725178,1
B0000001RE,0.4363317548760726,0.6881259893924928,-0.13501686799502532,1
B0000001VZ,0.4196906949417336,0.6315507515324849,-0.12403705513596483,1
B0000001XX,-1.505738047424334,-0.9545718101752045,0.25901922689415663,1
B0000001UY,1.113864617256612,0.3003467451038517,0.9056442587188931,1
B0000001XH,0.7978975018345188,0.3706495246811688,0.37923928193059125,1
B00000023Z,0.3837858428496036,0.36738416593014417,-0.30833695585443266,1
B000000241,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B00000024B,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B00000024P,0.37457056792444654,0.34238400180354583,-0.29287647572725833,1
B00000024N,0.378413323772181,0.33588867418444796,-0.2843167162636405,1
B00000027R,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B00000023I,0.378413323772181,0.33588867418444796,-0.2843167162636405,1
B00000023B,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B000000261,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B00000024J,0.38116884388807704,0.3798465475963885,-0.3203249063581675,1
B000000257,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B00000026I,0.38116884388807704,0.3798465475963885,-0.3203249063581675,1
B00000028M,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B000000275,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002HZ,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002IK,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002KB,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002J9,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002ME,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002LZ,0.37119958089744887,0.38797651991657844,-0.32672161909144615,1
B0000002O5,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002VJ,0.5590984057573359,0.17478457048094553,0.10540711345949214,1
B0000002VS,0.5791010957973214,0.18988717547319056,0.14446716538908763,1
B0000002W7,1.1246423975617061,0.18409414794754905,0.9183688594752765,1
B0000002WK,0.9924792491190947,0.06353611528190645,0.8140620330786642,1
B0000002ZQ,0.9855463509648322,-0.020535061476530413,0.8017173589084955,1
B0000002V5,0.5161601811086726,0.13035629141883903,0.11721050645455174,1
B00000030W,0.4986414740093876,0.1155779059513813,0.09911612383613168,1
B0000002VC,0.788675774889433,0.5617670646659906,0.5205186771113544,1
B0000002JR,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B0000002YU,1.046745157302499,0.0420140175168415,0.8039052119072057,1
B0000002Y1,0.9949596083928113,-0.012460264649474712,0.8079847149231352,1
B000000346,0.18828583273824118,0.8408752496205476,-0.3841248524011822,1
B000000338,0.23591699803014018,0.9319097504081313,-0.2851452272202311,1
B0000003E5,0.24757556363254943,0.3647111263267891,-0.14279947697436696,1
B0000003KH,-1.273893241567306,-0.4203407299405832,0.17587438716411988,1
B0000003JZ,-1.1205756842075185,0.5310015457484483,-0.3324034733689205,1
B0000003JD,-1.1205756842075185,0.5310015457484483,-0.3324034733689205,1
B0000003JR,-0.22103721958828895,0.4374450834021567,-0.25937906894955215,1
B0000003MB,0.317664362476246,0.27228006004636074,-0.24335989675249575,1
B0000003F6,0.37970587417742907,0.35604942489330543,-0.2973080062761178,1
B0000003JV,-0.192054978310882,-0.12296081220071817,-0.07338877327746578,1
B0000003JN,-0.2754856981399544,0.49782346050270454,-0.30841557242032275,1
B0000003T4,0.055713653440866796,0.8337846842386033,-0.5336334483487747,1
B0000003TK,-0.42313262653232103,0.9226383822016855,-0.5484077055685157,1
B0000003KJ,-1.1205756842075185,0.5310015457484483,-0.3324034733689205,1
B0000003S0,0.38119799367898716,0.3758865249050115,-0.3114705543883704,1
B0000003RR,0.055713653440866796,0.8337846842386033,-0.5336334483487747,1
B0000003WK,0.058843184486912815,1.0028711628889244,-0.6585786010217822,1
B0000003RV,0.0665112607620758,0.7803976085729253,-0.5026453749581582,1
B0000004C7,0.9855463509648322,-0.020535061476530413,0.8017173589084955,1
B0000004NF,0.8869160671429052,-0.7773985639436989,-1.1400150270832328,1
B0000004BK,1.0259974782689005,0.025601222962789966,0.7784806093416318,1
B0000004QQ,-0.2100800353095781,0.3810871994692192,-0.2282934527603471,1
B0000004UU,1.6560734427793244,-1.0806151937813362,-0.39354476526939036,1
B0000004X3,0.2005643544558458,-0.41270219171958217,-0.8850718882768841,1
B0000004VW,1.0506167898457632,0.06803312526671454,1.2766056174203646,1
B0000004VK,1.0818351516009763,0.0858979797150726,1.12943775366782,1
B0000004XH,0.5361396040514272,0.14277928541492968,0.1639926724329163,1
B0000004UM,0.9433425526201428,-0.8708840731191834,-1.2503409946993804,1
B0000004UO,0.9953952462696928,-0.9474408926217444,-1.333546212657317,1
B0000004VN,1.0818351516009763,0.0858979797150726,1.12943775366782,1
B0000004TW,-0.795938806458357,0.07146597129806184,0.324403734504917,1
B00000050R,1.6560734427793244,-1.0806151937813362,-0.39354476526939036,1
B0000004X1,0.9433425526201428,-0.8708840731191834,-1.2503409946993804,1
B0000004YH,1.6100156802934549,-1.0148569568450487,-0.32020667655305496,1
B000000509,0.9373476214564622,-0.8600854905529097,-1.2404738654577792,1
B00000051K,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000050T,1.2638605421693543,-0.6392993644909974,-0.03624782432196793,1
B00000050N,0.787150648908434,-0.49727675522619186,-0.9132620650284229,1
B00000052P,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000051G,1.298525883918822,-0.9615893228906097,-0.7519294965447623,1
B000000548,1.590925383410614,-0.7884639690361257,0.5460287368827971,1
B000000518,1.4032763308163552,-0.38793782811856853,1.078289621540586,1
B0000004ZO,1.5994936583229706,-0.9947305151358473,-0.30537662136022764,1
B00000052Y,0.9373476214564622,-0.8600854905529097,-1.2404738654577792,1
B00000053Q,1.5994936583229706,-0.9947305151358473,-0.30537662136022764,1
B00000053Y,0.24738982377266258,0.5140019095801787,-0.06250924067518782,1
B00000054J,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000053B,1.0659268691346275,-0.3284231565790319,0.29441256201256993,1
B0000004YX,1.6101689792725713,-1.0072561263150532,-0.2980488528460695,1
B000000545,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000054H,0.9373476214564622,-0.8600854905529097,-1.2404738654577792,1
B00000051V,0.8324811375970859,0.32802627186921673,0.8133011260844735,1
B00000053X,0.24738982377266258,0.5140019095801787,-0.06250924067518782,1
B000000559,1.5994936583229706,-0.9947305151358473,-0.30537662136022764,1
B000000534,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000054A,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000053G,1.5994936583229706,-0.9947305151358473,-0.30537662136022764,1
B00000055E,1.6101689792725713,-1.0072561263150532,-0.2980488528460695,1
B0000004YB,1.6560734427793244,-1.0806151937813362,-0.39354476526939036,1
B00000055F,1.5292315974139967,-1.0109685108593742,-0.4043081569502706,1
B000000536,1.298525883918822,-0.9615893228906097,-0.7519294965447623,1
B000000541,1.3065953132173047,-0.9795012580103861,-0.7687736941844439,1
B0000005GB,0.217492978215899,0.5655330940796737,-0.4149950967089296,1
B000000504,0.9434958515992593,-0.8632832425891879,-1.2281831709923956,1
B00000052I,1.298525883918822,-0.9615893228906097,-0.7519294965447623,1
B00000051I,1.298525883918822,-0.9615893228906097,-0.7519294965447623,1
B000000572,1.298525883918822,-0.9615893228906097,-0.7519294965447623,1
B00000050J,1.2205611162704988,0.17277478740529234,1.0465217638787727,1
B00000050H,1.6051430428518947,-0.8095736561921805,0.5414752337084998,1
B0000005PA,1.0037836655566048,-0.005093872541419413,0.823430718951034,1
B0000005PK,0.5135683554571228,0.12647505764408623,0.12341225834417235,1
B0000005P2,0.37265582211569115,0.3156673864431297,-0.2675039837772543,1
B0000005S3,0.35793489305610005,0.32821694302587906,-0.2806416823478264,1
B0000005OO,-0.47089325348070044,0.06130294069928197,0.0825589162511216,1
B0000005S0,-1.0237879312145535,0.785125650944427,-0.5432296718724381,1
B0000005XM,-0.8510048916011832,-0.3617001031982914,0.08898654092633407,1
B0000005X6,-0.8372369201559781,-0.3464063339298763,0.08479014851023942,1
B0000005X7,-0.8372369201559781,-0.3464063339298763,0.08479014851023942,1
B0000005WT,-1.4707230761343137,-0.924976395156567,0.2513686134483422,1
B00000063K,-0.49574408072317366,1.1689814611855895,-0.6158874339400916,1
B00000063H,0.438935998621209,0.6958410761626275,-0.13616308748685932,1
B00000064E,-1.3165894129569824,0.9648998579791731,-0.49571139550117194,1
B00000064F,-1.2075675331985734,0.6219577489067742,-0.3566832923864707,1
B00000064G,-0.510708636555177,1.3152333813288504,-0.6502780663573029,1
B0000006E3,0.4939609477101964,0.9886532633945975,-0.12819447668232475,1
B0000006P9,0.44496770770672855,0.7044435960061777,-0.12940394443871256,1
B0000006QO,0.47953017084069255,0.6925139170485791,-0.13873741775995305,1
B0000007SV,-0.1786679512454188,0.37742431596723547,-0.07792760286076417,1
B0000008OF,0.3405961868309869,0.08997952514872573,0.5643770944193448,1
B0000008SX,0.962894435692,-0.014441970139261687,0.9764992145391791,1
B000000946,-0.30338893996112654,0.7157362005486391,-0.20781749783714742,1
B0000008ZY,-0.18546668747070758,0.8054657912767768,-0.3243071617634702,1
B0000009AC,-0.41407834808720345,0.9684863991877909,-0.6082621050361458,1
B0000009AN,-1.1682767555493103,-0.669639164878121,0.19560882040522698,1
B0000009OU,-1.183185247213687,0.29701297384692243,-0.1521581131317757,1
B0000009QN,-1.2557534315241692,-0.7591261947020923,0.22595477169043302,1
B0000009QM,-1.2557534315241692,-0.7591261947020923,0.22595477169043302,1
B0000009QY,-1.3121105712570658,-0.7322996117019225,0.1649161612877644,1
B0000009R2,0.2666588952702026,0.7917731873407245,0.34727683022866795,1
B0000009QO,-1.2557534315241692,-0.7591261947020923,0.22595477169043302,1
B0000009UX,-0.9653287788935008,0.520314736689091,-0.23782426549395777,1
B0000009UZ,-1.079602518837958,0.7806873558753705,-0.23494537443028982,1
B0000009UW,-0.9776519754541826,0.5578780344669748,-0.3422197027919446,1
B0000009WH,-0.6060210561427162,0.4836886405063509,0.5092960024308254,1
B0000009UL,-0.835340575970393,-0.3399815613220242,0.3921883053686136,1
B0000009V1,-1.2145440709965862,0.7618637491594628,-0.23769509274924505,1
B0000009UT,-1.1937296894961968,0.1623099371756955,-0.13162636449583343,1
B0000009XZ,0.038622422305765486,0.2177101518209192,0.11213111328661649,1
B0000009YA,-0.08412854488226836,0.5517855385176504,-0.06923649296021475,1
B0000009YB,0.05862511234575102,0.23281275681316424,0.15119116521621204,1
B0000009QT,-0.5555439872330085,0.967651902595344,-0.5291827087302028,1
B000000A10,0.5161369140114417,0.12767668042268468,0.12493262050332073,1
B000000A42,-1.1682767555493103,-0.669639164878121,0.19560882040522698,1
B000000A0X,0.5214915772566749,0.13188080703392946,0.15183046200676606,1
B000000A0L,0.5214915772566749,0.13188080703392946,0.15183046200676606,1
B000000A1K,0.49370052915295515,0.3050233180175443,0.14816353945240668,1
B000000BE3,-0.702178190548882,-0.13681398156867464,0.055914842633023806,1
B000000BTN,0.9450600964103252,0.021888838418468427,0.6722213052374308,1
B000000CGZ,1.4986715566245423,-0.7687527725474799,0.26803547447721726,1
B000000CMP,1.018245630686042,-0.04351780386500503,1.2121775005202602,1
B000000CYO,0.012626780890864752,0.42868317042402676,0.0075524288409094175,1
B000000DAY,-0.2586767030983837,0.5857944782597367,-0.40160958837119093,1
B000000DAO,-0.2600373894177196,0.5807992422458648,-0.3974352228769126,1
B000000D4B,0.3717469118944625,0.31359164308659104,-0.2656852101509303,1
B000000DB4,0.3445395989425479,0.5502072646863384,-0.3935162324948407,1
B000000DBM,0.8210341839692447,0.08446238360553958,0.5797092939874656,1
B000000D1V,0.3731075982137984,0.3185868791004629,-0.2698595756452088,1
B000000D7C,0.3431789126232119,0.5452120286724667,-0.38934186700056217,1
B000000DAW,-0.2601130174953673,0.5815332466098222,-0.3980105400060016,1
B000000DAQ,-0.2600373894177196,0.5807992422458648,-0.3974352228769126,1
B000000DH2,-0.41233501921111215,0.8692513065360077,-0.517419632177899,1
B000000DAS,-0.2534391134540891,0.6182617880387071,-0.4248836535078216,1
B000000D7E,0.3431789126232119,0.5452120286724667,-0.38934186700056217,1
B000000EBH,0.27985112034309556,0.8885754044084343,-0.3527640902933248,1
B000000EB9,0.38502515450821617,0.37414504627861933,-0.31246308477273077,1
B000000ECP,-0.47622442073955934,1.166899143614571,-0.6267896147187654,1
B000000EDW,0.055713653440866796,0.8337846842386033,-0.5336334483487747,1
B000000EE2,0.055713653440866796,0.8337846842386033,-0.5336334483487747,1
B000000EE4,0.055713653440866796,0.8337846842386033,-0.5336334483487747,1
B000000EGO,0.20669537089469006,0.6189201697453515,-0.4459831700995462,1
B000000EF8,-0.4635976670610795,1.218859321049235,-0.7472042076462417,1
B000000EGI,0.38502515450821617,0.37414504627861933,-0.31246308477273077,1
B000000ECX,-0.47622442073955934,1.166899143614571,-0.6267896147187654,1
B000000EFC,0.3717469118944625,0.31359164308659104,-0.2656852101509303,1
B000000EJX,0.5105044892413568,0.12858646712562938,0.10652165531117555,1
B000000EK3,-0.46645047288197355,1.1940269850236573,-0.7288672940397107,1
B000000EKW,-0.47622442073955934,1.166899143614571,-0.6267896147187654,1
B000000EN4,0.3016329708939415,0.6834603316410772,-0.3204030535097426,1
B000000EMD,0.38126612959307493,0.36072101021002567,-0.30265362987017164,1
B000000EK0,0.38502515450821617,0.37414504627861933,-0.31246308477273077,1
B000000EMI,0.2705966675594489,0.7783724739477014,-0.37177996349844095,1
B000000EKM,-0.4667271981071256,1.0497728423989128,-0.6222590549732342,1
B000000EO1,0.38126612959307493,0.36072101021002567,-0.30265362987017164,1
B000000EVY,-0.40446566060641914,1.0447107207070232,-0.651742136860775,1
B000000EXB,-0.3081282082492151,0.7480001387115054,-0.48684858201142334,1
B000000EZ6,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B000000EG6,0.3745997177153565,0.3384239791121688,-0.2840221237574614,1
B000000EYL,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
B000000EYS,0.378413323772181,0.33588867418444796,-0.2843167162636405,1
B000000EW1,0.1646998545427291,0.7532899480168417,-0.530653465891672,1
B000000EYE,0.217492978215899,0.5655330940796737,-0.4149950967089296,1
B000000EXO,-0.4413938203035054,1.194142212002108,-0.7442249923782042,1
B000000EZ3,0.38126612959307493,0.36072101021002567,-0.30265362987017164,1
B000000EYT,0.38126612959307493,0.36072101021002567,-0.30265362987017164,1
B000000EUU,-0.8372369201559781,-0.3464063339298763,0.08479014851023942,1
B000000EZ2,0.38753131299233995,0.38001437569740915,-0.31744847287881084,1
B000000EYP,0.38126612959307493,0.36072101021002567,-0.30265362987017164,1
B000000F1Z,0.38502515450821617,0.37414504627861933,-0.31246308477273077,1
B000000EYY,0.378413323772181,0.33588867418444796,-0.2843167162636405,1
B000000EZN,0.378413323772181,0.33588867418444796,-0.2843167162636405,1
B000000EZQ,0.3850115997358114,0.3733512199772905,-0.31176514689454987,1
