asin,Component_1,Component_2,Component_3,Component_4,Component_5,bias
5555991584,-0.16603248228706233,0.22754170709030047,-0.14858289928384677,-0.023567123024023567,0.020441221189382363,1
6308051551,-0.3682138843050177,-0.4287444092796056,0.09093326953022415,-0.4455451339794559,-0.34856578500239244,1
7901622466,-0.16256601602082887,0.3161722032519171,-0.21840495886442593,-0.15292394246689706,-0.07752970895609312,1
B0000000ZW,0.9731957406068577,-0.050859284569510464,1.1051092539872902,0.0458835974458617,0.6425495078529004,1
B00000016W,-0.934423888763481,-0.13898753711093287,0.022740976290584,0.2105993847389139,-0.1128220518969408,1
B00000016T,-0.8058097598694942,0.11268313660539273,-0.038450256768361016,0.15737217539553283,0.3080165344308005,1
B0000001BA,-0.33526099248177854,1.2346581578097173,-0.4582058974804253,0.47304164943780025,-0.06844608478208826,1
B00000017R,0.4924892787909463,0.7874792230422448,-0.12751629956163743,-1.4626854654044834,-1.207863794248057,1
B0000001BO,0.4870260201590265,0.7844991065505623,-0.1308990743577113,-1.457111329198021,-1.2007045216947385,1
B0000001O0,0.4887195192375151,0.38476245678377935,-0.010242962860441053,-0.7072750172630242,-0.7625702059236049,1
B0000001PS,0.777904191116359,0.19552724921324988,0.4305616526313402,-0.06526589472925541,-0.66530079063524,1
B0000001Q8,0.4521045281223705,0.7041513018998892,-0.11580758452330814,-1.2703769805834018,-0.999631640707869,1
B0000001SH,0.47123200227791023,0.3430609113071957,0.0038318988598971494,-0.6020472747936625,-0.6549035811354044,1
B0000001P4,0.9502712264310087,0.32295623556844455,0.6868220233783265,0.22969606201685552,-0.7519367844049974,1
B0000001RE,0.43633156802561723,0.688157088507242,-0.1350805271857585,-1.2557578366790136,-0.9487700592845013,1
B0000001VZ,0.4196905572681686,0.6315745411576016,-0.12408358930664812,-1.1300673550769005,-0.8313364872898449,1
B0000001XX,-1.5057378554724374,-0.9546164434879405,0.259063154224972,-0.004747729004999334,-0.3788660207325469,1
B0000001UY,1.113864713126738,0.3003237819289784,0.9056719136767385,0.48795622159019425,-0.8570023310998854,1
B0000001XH,0.7978977245152149,0.37060089880498565,0.3792934540727361,-0.43938254943388594,-1.024924582369912,1
B00000023Z,0.3837858298540512,0.36739056218541377,-0.30833522423463827,-0.641116894750892,-0.33402739605277476,1
B000000241,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B00000024B,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B00000024P,0.37457056137250605,0.34238921201882216,-0.29287373156997737,-0.6326514764213039,-0.3343301998049865,1
B00000024N,0.3784133107798661,0.33589498487208,-0.28431598868031527,-0.6153016044661449,-0.31628617241626805,1
B00000027R,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B00000023I,0.3784133107798661,0.33589498487208,-0.28431598868031527,-0.6153016044661449,-0.31628617241626805,1
B00000023B,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B000000261,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B00000024J,0.3811688394212743,0.37985121839697694,-0.3203199189411505,-0.6634210120489215,-0.35971988375900715,1
B000000257,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B00000026I,0.3811688394212743,0.37985121839697694,-0.3203199189411505,-0.6634210120489215,-0.35971988375900715,1
B00000028M,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B000000275,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002HZ,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002IK,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002KB,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002J9,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002ME,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002LZ,0.37119956245843966,0.38798358842662306,-0.32671958403836737,-0.6487251399755479,-0.35435726648134275,1
B0000002O5,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002VJ,0.5590983328122437,0.17478822100992486,0.10539796957819134,-0.1622202650731789,-0.3557672316985209,1
B0000002VS,0.5791010117753469,0.18989112078086975,0.14445693714561203,-0.1136878251469604,-0.36859237561251423,1
B0000002W7,1.1246425060526837,0.18406759442176074,0.9183962512046951,0.3846078018027541,-0.9154388455900724,1
B0000002WK,0.9924792422305087,0.06354529966605614,0.8140573882641642,0.7790617595010194,-0.42579494465991646,1
B0000002ZQ,0.9855463689445672,-0.020538261268313474,0.8017150131084295,0.6844444183202215,-0.40667157836207957,1
B0000002V5,0.5161601681107159,0.1303486487381086,0.11721188372509347,-0.005042856197714196,-0.26390827461552413,1
B00000030W,0.49864147677432663,0.11557097237356885,0.09911785312974827,-0.020846133448104515,-0.2332976316668953,1
B0000002VC,0.7886758369846864,0.5617482748855248,0.520520285177439,1.2065925084855655,-0.18796376682630034,1
B0000002JR,0.38501158882863423,0.3733569912502344,-0.31176217605148837,-0.6460711400937624,-0.3416758563702888,1
B0000002YU,1.0467451011805553,0.04202031943965957,0.8038925919558936,0.5389877085308467,-0.5308764883475849,1
B0000002Y1,0.9949596195536551,-0.012464536232371768,0.8079824886304442,0.6894585140304171,-0.423201040026675,1
B000000346,0.1882859544361076,0.8408480594406517,-0.38410548208160855,-0.053048051347389345,-0.20376148829239366,1
B000000338,0.2359173344995208,0.931839178693883,-0.2850559128678705,-0.7408524112867799,-0.3427014208277724,1
B0000003E5,0.24757576079787597,0.3646765016688762,-0.1427467372586041,-0.5738009705171201,-0.09521238645894661,1
B0000003KH,-1.2738931898309191,-0.4203553082256932,0.17589363765776192,-0.44718788537992965,-0.4599962003476205,1
B0000003JZ,-1.1205757335781898,0.5310213570129501,-0.3324170447008818,0.6915574314329941,0.2732377441740234,1
B0000003JD,-1.1205757335781898,0.5310213570129501,-0.3324170447008818,0.6915574314329941,0.2732377441740234,1
B0000003JR,-0.22103717474371073,0.437426140338578,-0.2593797950095975,0.15380142129424554,0.065638320859425,1
B0000003MB,0.3176644059613886,0.27227403157045355,-0.24334961683691164,-0.3719596590124286,-0.17828904387946498,1
B0000003F6,0.3797058675153011,0.35605368598539827,-0.29730536691667286,-0.6212709027504059,-0.3245694032015245,1
B0000003JV,-0.19205493096370224,-0.12296976929527685,-0.07338185885590402,-0.5953787122466003,-0.3181447787227929,1
B0000003JN,-0.2754857479017932,0.4978326447787936,-0.3084251112459833,0.23911080681130828,0.12715455777326845,1
B0000003T4,0.05571378599264175,0.8337570142711936,-0.5336159860097723,0.2946153788423764,0.19458218717460563,1
B0000003TK,-0.42313261408723807,0.9226318707743782,-0.5484072044129674,0.5755180106057494,0.29560583262053797,1
B0000003KJ,-1.1205757335781898,0.5310213570129501,-0.3324170447008818,0.6915574314329941,0.2732377441740234,1
